Kanton,Total,1,2,3,4,5,6+
Schweiz,17.8,22.6,20.0,17.9,16.7,16.5,17.1
Zürich,21.3,28.6,24.3,21.4,19.5,18.9,20.2
Bern,16.1,19.8,17.7,16.3,15.3,14.7,15.0
Luzern,17.0,24.3,19.6,17.4,16.0,15.5,14.7
Uri,14.0,17.2,16.0,14.5,13.5,12.8,12.0
Schwyz,18.2,22.9,20.6,18.7,17.3,17.0,17.5
Obwalden,15.9,20.4,18.0,15.8,15.2,15.8,12.8
Nidwalden,17.0,16.9,18.9,17.9,16.6,15.7,13.6
Glarus,14.7,17.1,16.1,14.6,15.2,13.4,10.4
Zug,21.5,26.3,25.3,21.7,20.3,20.5,21.5
Freiburg,15.8,20.5,18.4,15.9,14.7,14.5,14.8
Solothurn,14.9,16.7,16.5,15.2,14.3,13.9,14.0
Basel-Stadt,19.7,23.6,21.1,19.0,18.9,19.4,20.6
Basel-Landschaft,18.2,18.7,19.2,18.4,17.6,17.4,19.2
Schaffhausen,14.6,19.9,17.4,14.8,13.5,14.0,12.3
Appenzell A.Rh.,13.9,16.0,13.9,14.2,14.6,13.1,11.7
Appenzell I.Rh.,15.4,,15.0,15.4,15.4,15.4,15.6
St.Gallen,15.5,18.8,17.3,15.8,14.9,14.3,13.7
Graubünden,16.5,23.2,18.4,16.6,15.6,14.5,14.2
Aargau,16.7,21.3,19.2,17.0,15.8,14.7,14.9
Thurgau,14.9,16.2,17.1,15.5,14.4,13.0,13.2
Tessin,14.6,14.0,15.5,14.5,14.0,14.7,16.3
Waadt,19.1,25.2,21.2,18.9,17.5,17.5,17.4
Wallis,15.2,18.6,18.0,15.3,13.8,13.1,12.9
Neuenburg,13.7,15.6,14.3,13.4,13.6,13.0,15.9
Genf,21.1,24.3,22.0,21.0,20.5,20.3,23.3
Jura,12.3,11.9,14.1,11.9,12.5,11.5,11.3
