Jahr,Mietindex,Nominallohn,Reallohn,Mietindex_idx,Nominallohn_idx,Reallohn_idx
1984,48.5,1283,258,50.6,56.2,86.6
1985,50.0,1323,259,52.1,57.9,86.9
1986,51.9,1370,267,54.1,60.0,89.6
1987,53.4,1403,268,55.7,61.4,89.9
1988,54.9,1452,273,57.2,63.6,91.6
1989,57.0,1507,274,59.4,66.0,91.9
1990,61.9,1595,272,64.5,69.8,91.3
1991,68.0,1706,277,70.9,74.7,93.0
1992,72.8,1788,280,75.9,78.3,94.0
1993,76.5,1836,278,79.8,80.4,93.3
1994,76.9,1862,280,80.2,81.5,94.0
1995,77.8,1887,279,81.1,82.6,93.6
1996,78.8,1910,280,82.2,83.6,94.0
1997,79.2,1919,280,82.6,84.0,94.0
1998,79.3,1932,282,82.7,84.6,94.6
1999,79.8,1938,280,83.2,84.9,94.0
2000,81.0,1963,279,84.5,85.9,93.6
2001,83.3,2011,284,86.9,88.0,95.3
2002,84.2,2047,287,87.8,89.6,96.3
2003,84.4,2076,289,88.0,90.9,97.0
2004,85.4,2095,289,89.1,91.7,97.0
2005,86.6,2115,289,90.3,92.6,97.0
2006,88.4,2140,289,92.2,93.7,97.0
2007,90.3,2175,292,94.2,95.2,98.0
2008,92.5,2219,290,96.5,97.2,97.3
2009,94.9,2266,298,99.0,99.2,100.0
2010,95.9,2284,298,100.0,100.0,100.0
2011,97.2,2306,301,101.4,101.0,101.0
2012,97.8,2326,305,102.0,101.8,102.3
2013,98.2,2343,308,102.4,102.6,103.4
2014,99.4,2361,311,103.6,103.4,104.4
2015,100.2,2370,315,104.5,103.8,105.7
2016,100.4,2386,319,104.7,104.5,107.0
2017,101.7,2395,318,106.0,104.9,106.7
2018,102.3,2407,317,106.7,105.4,106.4
2019,102.9,2429,319,107.3,106.3,107.0
2020,103.8,2449,324,108.2,107.2,108.7
